time,open,high,low,close,Volume
2025-11-09T18:00:00-05:00,48.357,48.503,48.342,48.486,221
2025-11-09T18:03:00-05:00,48.487,48.498,48.444,48.479,202
2025-11-09T18:06:00-05:00,48.48,48.549,48.474,48.517,244
2025-11-09T18:09:00-05:00,48.516,48.552,48.511,48.549,212
2025-11-09T18:12:00-05:00,48.553,48.595,48.514,48.531,268
2025-11-09T18:15:00-05:00,48.53,48.555,48.468,48.469,271
2025-11-09T18:18:00-05:00,48.468,48.474,48.405,48.441,326
2025-11-09T18:21:00-05:00,48.44,48.465,48.43,48.454,220
2025-11-09T18:24:00-05:00,48.455,48.492,48.441,48.449,173
2025-11-09T18:27:00-05:00,48.45,48.454,48.427,48.433,88
2025-11-09T18:30:00-05:00,48.432,48.459,48.42,48.449,124
2025-11-09T18:33:00-05:00,48.447,48.452,48.38,48.395,196
2025-11-09T18:36:00-05:00,48.396,48.407,48.377,48.379,118
2025-11-09T18:39:00-05:00,48.378,48.453,48.373,48.453,102
2025-11-09T18:42:00-05:00,48.454,48.467,48.431,48.441,152
2025-11-09T18:45:00-05:00,48.442,48.458,48.44,48.448,174
2025-11-09T18:48:00-05:00,48.446,48.448,48.427,48.438,176
2025-11-09T18:51:00-05:00,48.444,48.5,48.444,48.49,136
2025-11-09T18:54:00-05:00,48.489,48.527,48.488,48.519,162
2025-11-09T18:57:00-05:00,48.518,48.573,48.515,48.572,221
2025-11-09T19:00:00-05:00,48.571,48.581,48.528,48.551,349
2025-11-09T19:03:00-05:00,48.554,48.599,48.546,48.553,306
2025-11-09T19:06:00-05:00,48.552,48.579,48.526,48.531,286
2025-11-09T19:09:00-05:00,48.532,48.579,48.528,48.564,223
2025-11-09T19:12:00-05:00,48.565,48.593,48.558,48.585,212
2025-11-09T19:15:00-05:00,48.584,48.59,48.558,48.571,176
2025-11-09T19:18:00-05:00,48.569,48.577,48.558,48.56,161
2025-11-09T19:21:00-05:00,48.558,48.584,48.552,48.572,152
2025-11-09T19:24:00-05:00,48.573,48.575,48.547,48.563,220
2025-11-09T19:27:00-05:00,48.564,48.569,48.543,48.556,196
2025-11-09T19:30:00-05:00,48.555,48.569,48.544,48.557,194
2025-11-09T19:33:00-05:00,48.555,48.566,48.542,48.544,198
2025-11-09T19:36:00-05:00,48.543,48.543,48.477,48.501,223
2025-11-09T19:39:00-05:00,48.5,48.512,48.488,48.506,189
2025-11-09T19:42:00-05:00,48.505,48.525,48.49,48.525,171
2025-11-09T19:45:00-05:00,48.524,48.563,48.519,48.562,346
2025-11-09T19:48:00-05:00,48.56,48.565,48.532,48.532,333
2025-11-09T19:51:00-05:00,48.533,48.534,48.489,48.501,303
2025-11-09T19:54:00-05:00,48.5,48.519,48.486,48.507,230
2025-11-09T19:57:00-05:00,48.508,48.523,48.483,48.514,342
2025-11-09T20:00:00-05:00,48.513,48.592,48.498,48.551,512
2025-11-09T20:03:00-05:00,48.547,48.623,48.546,48.587,446
2025-11-09T20:06:00-05:00,48.59,48.655,48.583,48.647,392
2025-11-09T20:09:00-05:00,48.648,48.874,48.623,48.873,424
2025-11-09T20:12:00-05:00,48.874,48.895,48.806,48.838,430
2025-11-09T20:15:00-05:00,48.836,48.882,48.836,48.853,390
2025-11-09T20:18:00-05:00,48.858,48.899,48.85,48.873,403
2025-11-09T20:21:00-05:00,48.879,48.943,48.872,48.935,506
2025-11-09T20:24:00-05:00,48.934,49.186,48.933,49.169,545
2025-11-09T20:27:00-05:00,49.169,49.256,49.169,49.177,602
2025-11-09T20:30:00-05:00,49.163,49.173,49.007,49.022,536
